Cidade,Prof. Sec.,Mecânico,Administrador,Eng. Eletr.
Amsterdã,34125,26542,59280,47730
Atenas,11025,12456,31980,18870
Bogotá,4725,3806,14040,14430
Bruxelas,28350,25528,59280,33855
Buenos Aires,5775,6574,21060,36075
Caracas,11500,20068,45240,42180
Chicago,33600,39790,60060,48285
Cid. México,6825,8304,28860,22200
Dublin,18375,13840,23400,25530
Estocolmo,28875,25950,54600,33855
Genebra,56700,37022,71760,53835
Hong-Kong,11550,5822,20280,17205
Istambul,4725,6228,13260,12210
Londres,20745,17646,31200,21090
Los Angeles,32550,36330,59280,46065
Madrid,14700,12110,32760,31635
Manila,2100,1730,20280,4440
Milão,12600,13494,17160,31080
Montreal,29400,23528,51480,34410
Nova Iorque,27300,32870,67080,43280
Paris,24150,15916,40560,43845
Rio de Janeiro,7350,8650,53040,42735
São Francisco,32025,39946,65520,43065
São Paulo,9450,11072,74470,39970
Singapura,8925,5190,24960,8325
Sydney,28350,20068,34320,31080
Tel Aviv,7875,9688,14040,14430
Tóquio,30450,16954,63180,34410
Toronto,29925,25950,44460,39960
Zurique,52500,34600,78000,55500
